method,tkm_M,co2_kt,recycled_Mt,unmet_Mt,recycling_rate
DET,317.56383204,31756.383204000005,2.024,1.938901,0.5107369575974771
DRO(0.05),326.88170328058834,32688.170328058834,3.686375294117647,0.0,0.9999999999999998
DRO(0.10),326.88170328058834,32688.170328058834,3.686375294117647,0.0,0.9999999999999998
DRO(0.20),326.88170328058834,32688.170328058834,3.686375294117647,0.0,0.9999999999999998
ROB,328.75019739823546,32875.01973982355,3.7334341176470587,0.0,0.9999999999999998
SAA,329.20819739823537,32920.819739823535,3.7334341176470587,0.0,0.9999999999999998
