alns_seed,method,plan_obj,time_s
42,SAA,808934229.0107698,13.666211128234863
42,DRO(0.10),867475923.7605718,14.027957916259766
43,SAA,1214206745.0609484,17.321261167526245
43,DRO(0.10),1389923065.2510998,17.49314594268799
44,SAA,843210078.3114476,14.067225933074951
44,DRO(0.10),901520537.9858078,14.23208498954773
