instance,method,plan_obj,oos_mean,oos_std,oos_cv,oos_p50,oos_p95,disappointment_rate,disappointment_mean,budget_exceed_rate,service_fail_rate,unmet_mean_t,recycled_mean_t,config_sig,uniq_configs
tight70_s1,DET,688746736.7669047,905252016.1500633,503272204.7195813,0.5559470685963698,704285853.2203095,2259468680.756735,0.5369430344049635,252258686.36153653,0.5369430344049635,0.4895657078398194,489898.317385523,3637215.097579458,24920295,5
tight70_s1,SAA,852023575.5368866,845885916.1514779,216942213.62900123,0.2564674614941243,798735662.8764381,1423731551.4588819,0.16864072194021426,64836131.98188609,0.8888888888888885,0.11111111111111108,62055.555555555475,3955489.6170819467,40214235,5
tight70_s1,DRO(0.05),869400817.2896215,848788087.8648913,235484211.85226202,0.27743581138681817,794384100.8809955,1480285220.9053092,0.14495205865764235,68401664.90776482,0.8888888888888885,0.11111111111111108,78588.88888888879,3947472.199760537,2972083,5
tight70_s1,DRO(0.10),916994225.1717675,853805365.2557367,178303415.02234635,0.2088337954739133,821613820.8610704,1315646449.7403948,0.11449520586576421,44322799.99557835,0.8888888888888885,0.11111111111111108,19455.555555555497,4002450.6395364576,40858065,5
tight70_s1,DRO(0.20),1151895126.9673724,853805365.2557367,178303415.02234635,0.2088337954739133,821613820.8610704,1315646449.7403948,0.11111111111111108,18194591.419224706,0.8888888888888885,0.11111111111111108,19455.555555555497,4002450.6395364576,40858065,5
tight70_s1,ROB,1219051778.0139503,856518504.6289208,211986850.7950989,0.24749827312480582,810374028.1771269,1418574663.0868573,0.11111111111111108,22169209.45254521,0.8888888888888885,0.11111111111111108,54499.999999999935,3954426.8888054686,8614206,5
tight70_s2,DET,747681175.5141006,952313471.4785435,500400797.87854683,0.5254580690763875,759728621.2192999,2301818076.57639,0.5470953186689226,242568108.68740895,0.5470953186689226,0.48279751833051304,474200.39443004766,3532283.082866351,3826120,6
tight70_s2,SAA,896596320.880924,888277942.7810308,211739945.62651047,0.23837127483273154,846385033.1740363,1443358544.948,0.1754089114495205,62446691.87253529,0.8855047941342353,0.11111111111111108,61677.77777777796,3777978.803302386,22987351,6
tight70_s2,DRO(0.05),912098361.5015368,889336206.5609088,232660627.15926388,0.26161155414887455,839291682.6349554,1507120313.5290582,0.15848843767625484,66712362.10562065,0.8787366046249292,0.11111111111111108,78588.88888888907,3799913.443825261,66345327,6
tight70_s2,DRO(0.10),958851619.7009004,887918889.1626738,238102192.71000588,0.2681575936902764,835431841.1780415,1522588082.0698152,0.11449520586576421,62667978.715253145,0.8787366046249292,0.11111111111111108,86144.44444444461,3791024.554936372,35029205,6
tight70_s2,DRO(0.20),1197784662.258149,893320668.0582727,189906200.1825383,0.2125845812963441,859442432.9520962,1381910797.463811,0.11111111111111108,20458459.467295773,0.8888888888888885,0.11111111111111108,31122.22222222241,3790467.3100324385,30681488,6
tight70_s2,ROB,1248666137.5112925,895089844.4373839,209703777.29945758,0.23428237802348056,853551719.9813244,1444159400.1910214,0.11111111111111108,21721473.631080993,0.8888888888888885,0.11111111111111108,54500.00000000019,3783879.0747383204,8614206,6
tight70_s3,DET,712385187.3293403,928726896.1814209,508552906.7842171,0.5475806815493308,745147171.0962071,2284801967.5073695,0.5707839819514945,258518168.6596642,0.5707839819514945,0.5132543711223913,502707.8504023273,3549151.473665789,57255557,5
tight70_s3,SAA,870693520.8067946,862903950.8392994,307884742.1289356,0.35680070977711126,795957937.6049149,1696722673.3689866,0.15848843767625484,92998342.86967365,0.8279751833051323,0.11111111111111108,148011.11111111112,3762898.615607206,91019307,5
tight70_s3,DRO(0.05),891204821.0813581,868874411.4869275,238177270.52738774,0.27412163067363066,827086993.2049019,1497478407.0029137,0.1754089114495205,68832826.79614681,0.8821206993795823,0.11111111111111108,63900.00000000002,3802769.467333907,51475763,5
tight70_s3,DRO(0.10),940843322.2876811,868874411.4869275,238177270.52738774,0.27412163067363066,827086993.2049019,1497478407.0029137,0.11787930062041735,61900650.73397893,0.8821206993795823,0.11111111111111108,63900.00000000002,3802769.467333907,51475763,5
tight70_s3,DRO(0.20),1218076890.2432292,881209657.90273,224813376.80189565,0.25511905683937824,844966477.3472712,1467900054.0434272,0.11111111111111108,27758129.311133113,0.8855047941342353,0.11111111111111108,46233.33333333332,3781626.6206766213,18889282,5
tight70_s3,ROB,1277668711.491084,876107132.3714538,229568551.1921507,0.26203251030584895,837891461.1173993,1477439531.6318412,0.11111111111111108,22196757.793417446,0.8821206993795823,0.11111111111111108,54500.00000000001,3793667.447237546,67638828,5
tight80_s1,DET,680960139.8493026,885227968.1988685,495691025.40554,0.5599586131627755,695644516.9059528,2224706518.1857305,0.5369430344049635,240460223.43736643,0.5369430344049635,0.4624929498025943,448729.5180872384,3685143.9786456665,92443009,5
tight80_s1,SAA,825966017.2467074,820333956.3917553,189742554.02067477,0.23129915876609414,783875768.9022708,1317839139.5061429,0.1754089114495205,56279938.69827131,0.8888888888888885,0.11111111111111108,33299.99999999995,4067210.3505286803,8549763,5
tight80_s1,DRO(0.05),843472872.4582269,825752879.5603527,146545662.65447167,0.17746915122172569,806073457.7371677,1190265059.0190818,0.18894529046813308,40114212.113680914,0.8888888888888885,0.0,0.0,4107908.8792117536,26803917,5
tight80_s1,DRO(0.10),884403262.0603693,825752879.5603527,146545662.65447167,0.17746915122172569,806073457.7371677,1190265059.0190818,0.11787930062041735,34038610.20884961,0.8888888888888885,0.0,0.0,4107908.8792117536,26803917,5
tight80_s1,DRO(0.20),1102517065.532698,829013105.6968226,150571690.83072066,0.1816276362774246,807697869.653719,1205660704.6881697,0.11111111111111108,11460404.350607974,0.8888888888888885,0.0,0.0,4083731.6904641464,15072493,5
tight80_s1,ROB,1122030392.6428134,827006830.4917871,186572091.92296454,0.22559921519876416,791741448.959985,1315451032.803176,0.11111111111111108,21491182.24004027,0.8888888888888885,0.11111111111111108,41744.44444444441,4011569.1439645914,40860663,5
tight80_s2,DET,737263842.556141,968435207.3561695,517939959.6515922,0.5348214890550805,780079180.0260301,2348576160.600496,0.5504794134235758,270813620.4553382,0.5504794134235758,0.5470953186689226,558110.2387206757,3437638.591416575,60203371,5
tight80_s2,SAA,870557181.1654058,862705243.0010571,170700469.47129545,0.1978665029060062,835905324.4595248,1292768321.830735,0.22617033276931747,49589098.4550674,0.8888888888888885,0.11111111111111108,19744.444444444645,3822634.630293876,16536594,5
tight80_s2,DRO(0.05),886901401.9482388,866585230.4116724,148122001.44228825,0.17092606271621166,848732088.5777277,1224860379.0088935,0.19571347997743932,39585504.66353922,0.8888888888888885,0.0,0.0,3804175.943645223,26803917,5
tight80_s2,DRO(0.10),928401135.3366832,866585230.4116724,148122001.44228825,0.17092606271621166,848732088.5777277,1224860379.0088935,0.11787930062041735,33055969.563225135,0.8888888888888885,0.0,0.0,3804175.943645223,26803917,5
tight80_s2,DRO(0.20),1144944945.4251184,872124838.4002135,151283653.34178403,0.17346559423682045,853132221.4125266,1240217903.9156356,0.11111111111111108,10585884.276724122,0.8888888888888885,0.0,0.0,3804159.1543688197,60723293,5
tight80_s2,ROB,1141834705.6654184,863745386.9560995,176366433.33260506,0.20418798872447005,834532088.5777277,1312817855.460621,0.11111111111111108,18998127.75502252,0.8888888888888885,0.11111111111111108,36077.77777777803,3761731.499200778,39366297,5
tight80_s3,DET,704481164.064149,891794962.7357893,485210091.4004249,0.5440825656964126,725717670.6010312,2203625035.2866564,0.5707839819514945,226616109.22157198,0.5707839819514945,0.4218838127467568,411592.74904243427,3659011.339559387,71443749,5
tight80_s3,SAA,850404111.6325026,843654102.9803274,188580335.31392065,0.22352802487148934,820246210.5851055,1322738818.0610108,0.23632261703327684,56564800.4669925,0.8821206993795823,0.11111111111111108,11100.000000000016,3830814.4888804173,67962642,5
tight80_s3,DRO(0.05),865903147.1243097,844634479.4280809,189105253.71392253,0.22389004749364425,821293555.7987957,1324832744.0578995,0.20248166948674556,53519648.71363172,0.8821206993795823,0.11111111111111108,12188.888888888943,3846663.1516990205,6335137,5
tight80_s3,DRO(0.10),912415370.8888355,844634479.4280809,189105253.71392253,0.22389004749364425,821293555.7987957,1324832744.0578995,0.12464749012972362,46026121.18827446,0.8821206993795823,0.11111111111111108,12188.888888888943,3846663.1516990205,6335137,5
tight80_s3,DRO(0.20),1140895433.606393,850960323.5937979,171138066.4409786,0.20111168722676026,834233948.888921,1275139191.2861462,0.11111111111111108,14915973.075528113,0.8888888888888885,0.0,0.0,3825585.6319989883,15072493,5
tight80_s3,ROB,1169389460.4172087,841594263.7946272,194173486.5671851,0.2307210195227387,814497909.0452001,1340644318.0543907,0.11111111111111108,19028317.51524244,0.8821206993795823,0.11111111111111108,34188.88888888889,3795030.84804051,10896236,5
