method,committed_cost,oos_mean,oos_std,oos_cv,oos_p50,oos_p95,disappointment_rate,disappointment_mean,service_fail_rate,unmet_mean_t,recycled_mean_t
SAA,808934229.0107698,801204108.5714488,145295120.71702024,0.18134595062933742,785448779.7297001,1152167057.6377406,0.3812746756909193,42351308.57556309,0.0,0.0,3896649.482713323
MV(lambda=0.25),806578193.6275611,798660489.9296649,150279510.39196685,0.18816444820652317,781530657.2190834,1164941056.3743052,0.37789058093626615,43736029.15388749,0.0,0.0,3909255.237166175
MV(lambda=0.5),809895206.6166679,802220602.38295,145324490.55915248,0.1811527778362641,786333237.7718881,1153603856.1612701,0.3812746756909193,42283821.32518279,0.0,0.0,3921623.4270532024
MV(lambda=1.0),812626077.0860981,805074991.1192409,140949052.7135046,0.17507568148099192,790918586.1893018,1142851340.8671527,0.3812746756909193,41064827.38752591,0.0,0.0,3903715.270739314
DRO(0.05),824470100.2099316,806416937.9812989,143069226.1734303,0.17741346868479108,791630181.9892637,1150516388.9589171,0.22278623801466435,38753942.22958223,0.0,0.0,3856223.9308618684
DRO(0.10),867475923.7605718,812743358.6527064,142578659.26974046,0.17542888262550022,798198630.3955857,1155264331.8647997,0.134799774393683,32249224.014977504,0.0,0.0,3852196.536706938
DRO(0.20),1053343441.2542559,814943358.6527063,142578659.26974046,0.17495529935412524,800398630.3955857,1157464331.8647997,0.11111111111111108,11568987.84561598,0.0,0.0,3852196.536706938
ROB,1073851398.3406396,794732980.2735565,150182244.29302236,0.1889719541289552,777723509.1581864,1161622544.88,0.11111111111111108,9752349.6154845,0.11111111111111108,3411.11111111111,3897573.4257615684
